algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,skew_mode,exclude_top_k,workload_mode
qlearning_balancer[qlearn],0.0089,0.999584936312976,1.1673740906212802,irm,2,10,10000,29,0.0,index,10,uniform
qlearning_balancer[lru],0.0106,0.9999146744121613,0.529259245279331,irm,2,10,10000,29,0.0,index,10,uniform
qlearning_balancer[oracle],0.01,0.999875298075717,0.6398353589242783,irm,2,10,10000,29,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9995850110431951,1.167268981304414,irm,2,10,10000,29,0.0,index,10,uniform
Optimal_QLRU,0.0115,0.9997848758239819,0.8403937517052512,irm,2,10,10000,27,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0073,0.9967806347225154,3.252677917240294,irm,2,10,10000,27,0.0,index,10,uniform
qlearning_balancer[lru],0.0109,0.9965344943713635,3.3748703826202466,irm,2,10,10000,27,0.0,index,10,uniform
qlearning_balancer[oracle],0.0101,0.9969852414850515,3.1475117116456746,irm,2,10,10000,27,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9967714192672158,3.2573350117739523,irm,2,10,10000,27,0.0,index,10,uniform
Optimal_QLRU,0.0318,0.9995562509689949,1.207045013152335,irm,2,30,10000,5,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0073,0.9929730854077548,4.808558572808604,irm,2,30,10000,5,0.0,index,30,uniform
qlearning_balancer[lru],0.0322,0.9917090758233609,5.224275292372491,irm,2,30,10000,5,0.0,index,30,uniform
qlearning_balancer[oracle],0.033,0.9908475570179635,5.489791605712715,irm,2,30,10000,5,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9935147552390315,4.619089274746978,irm,2,30,10000,5,0.0,index,30,uniform
Optimal_QLRU,0.0414,0.999242114262845,1.577536339552792,irm,2,10,10000,28,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0064,0.9820170263772471,7.706615754082204,irm,2,10,10000,28,0.0,index,10,uniform
qlearning_balancer[lru],0.0085,0.9820428492111164,7.701046982409836,irm,2,10,10000,28,0.0,index,10,uniform
qlearning_balancer[oracle],0.0126,0.983266531929999,7.432489796981283,irm,2,10,10000,28,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9816552994923387,7.784214630410201,irm,2,10,10000,28,0.0,index,10,uniform
Optimal_QLRU,0.051,0.9998401323349005,0.7244601821328863,irm,2,30,10000,7,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0255,0.9996418078937916,1.084442596005586,irm,2,30,10000,7,0.0,index,30,uniform
qlearning_balancer[lru],0.0253,0.9989046149466724,1.896641968035078,irm,2,30,10000,7,0.0,index,30,uniform
qlearning_balancer[oracle],0.0304,0.9997133366285738,0.9701289977595698,irm,2,30,10000,7,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9991061824532974,1.7132146850623262,irm,2,30,10000,7,0.0,index,30,uniform
Optimal_QLRU,0.0352,0.9999242031664514,0.49883124750541324,irm,2,30,10000,8,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0217,0.9952751286558534,3.9414880822401472,irm,2,30,10000,8,0.0,index,30,uniform
qlearning_balancer[lru],0.0252,0.9952635540593959,3.946320533224032,irm,2,30,10000,8,0.0,index,30,uniform
qlearning_balancer[oracle],0.0256,0.9951989180011875,3.9731990359573452,irm,2,30,10000,8,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9943742111087834,4.301524479478743,irm,2,30,10000,8,0.0,index,30,uniform
Optimal_QLRU,0.0504,0.999939276659487,0.44648292563587233,irm,2,30,10000,0,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0149,0.9998300599970349,0.7469348872351725,irm,2,30,10000,0,0.0,index,30,uniform
qlearning_balancer[lru],0.0305,0.999830009144362,0.747046641224695,irm,2,30,10000,0,0.0,index,30,uniform
qlearning_balancer[oracle],0.0353,0.9998036048085801,0.8029754622934311,irm,2,30,10000,0,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9987845606507879,1.9979163190137657,irm,2,30,10000,0,0.0,index,30,uniform
Optimal_QLRU,0.0573,0.9999940474085984,0.13978999830523237,irm,2,30,10000,1,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0279,0.9953827268540817,3.8962802992414143,irm,2,30,10000,1,0.0,index,30,uniform
qlearning_balancer[lru],0.0306,0.9991529890048646,1.667740533431521,irm,2,30,10000,1,0.0,index,30,uniform
qlearning_balancer[oracle],0.0314,0.9979799839774732,2.576002982873936,irm,2,30,10000,1,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9976272973352907,2.792004943863869,irm,2,30,10000,1,0.0,index,30,uniform
Optimal_QLRU,0.054,0.9999284900221234,0.4845193550450479,irm,2,30,10000,2,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0332,0.9980604074318762,2.524168719238494,irm,2,30,10000,2,0.0,index,30,uniform
qlearning_balancer[lru],0.0259,0.9981663718151702,2.454206387618676,irm,2,30,10000,2,0.0,index,30,uniform
qlearning_balancer[oracle],0.0293,0.9982418701599431,2.4031199274135346,irm,2,30,10000,2,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9980814770632824,2.5104125385703817,irm,2,30,10000,2,0.0,index,30,uniform
Optimal_QLRU,0.0492,0.9999900445742023,0.1807812033369068,irm,2,30,10000,3,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0258,0.9975908293587107,2.81339654185709,irm,2,30,10000,3,0.0,index,30,uniform
qlearning_balancer[lru],0.0309,0.9973816834236512,2.933076648458455,irm,2,30,10000,3,0.0,index,30,uniform
qlearning_balancer[oracle],0.0302,0.9967167768752926,3.2848138684661166,irm,2,30,10000,3,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9975909429793045,2.813330145417003,irm,2,30,10000,3,0.0,index,30,uniform
Optimal_QLRU,0.0348,0.9994994408190906,1.2819957528392991,irm,2,30,10000,4,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0242,0.9910335486417344,5.433555264201837,irm,2,30,10000,4,0.0,index,30,uniform
qlearning_balancer[lru],0.0279,0.986357805044605,6.707446078772383,irm,2,30,10000,4,0.0,index,30,uniform
qlearning_balancer[oracle],0.0285,0.9889746320855463,6.027267497957402,irm,2,30,10000,4,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9877329313120696,6.35894358434277,irm,2,30,10000,4,0.0,index,30,uniform
Optimal_QLRU,0.0386,0.9999729529423607,0.2979782761953459,irm,2,30,10000,6,0.0,index,30,uniform
qlearning_balancer[qlearn],0.026,0.999424562583184,1.3745588603173846,irm,2,30,10000,6,0.0,index,30,uniform
qlearning_balancer[lru],0.0276,0.999971819403251,0.3041583649637739,irm,2,30,10000,6,0.0,index,30,uniform
qlearning_balancer[oracle],0.0312,0.9995211425119755,1.253892893069316,irm,2,30,10000,6,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9999412726383657,0.43908351123381445,irm,2,30,10000,6,0.0,index,30,uniform
Optimal_QLRU,0.0232,0.9989677154028764,1.841183624262038,irm,2,30,10000,9,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0065,0.9959266468140802,3.6592657166772726,irm,2,30,10000,9,0.0,index,30,uniform
qlearning_balancer[lru],0.0243,0.9955115817014049,3.8414458274177914,irm,2,30,10000,9,0.0,index,30,uniform
qlearning_balancer[oracle],0.0266,0.995963105104601,3.642830693920489,irm,2,30,10000,9,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9959149456183684,3.6645249554677877,irm,2,30,10000,9,0.0,index,30,uniform
Optimal_QLRU,0.0433,0.9993658280447455,1.4430190425448854,irm,2,30,10000,11,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0324,0.9983535313692329,2.3255121354483888,irm,2,30,10000,11,0.0,index,30,uniform
qlearning_balancer[lru],0.0282,0.9993565468737947,1.4535423029266015,irm,2,30,10000,11,0.0,index,30,uniform
qlearning_balancer[oracle],0.0289,0.9987993558335383,1.9857141646998226,irm,2,30,10000,11,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9996464825690872,1.0773421223573725,irm,2,30,10000,11,0.0,index,30,uniform
Optimal_QLRU,0.0397,0.9992042456987974,1.61647780235706,irm,2,30,10000,13,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0102,0.9984394048672266,2.264022720029445,irm,2,30,10000,13,0.0,index,30,uniform
qlearning_balancer[lru],0.0268,0.9985885122949276,2.1530960389273077,irm,2,30,10000,13,0.0,index,30,uniform
qlearning_balancer[oracle],0.0323,0.9989886523929034,1.8224099964326557,irm,2,30,10000,13,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9983531729428483,2.3257653858272116,irm,2,30,10000,13,0.0,index,30,uniform
Optimal_QLRU,0.0218,0.9978505769517144,2.6572920385822822,irm,2,30,10000,14,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0184,0.9829845966712569,7.495198331469759,irm,2,30,10000,14,0.0,index,30,uniform
qlearning_balancer[lru],0.0264,0.983291060087926,7.427009734755562,irm,2,30,10000,14,0.0,index,30,uniform
qlearning_balancer[oracle],0.0299,0.9860256649151046,6.78898623369417,irm,2,30,10000,14,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9714104417694143,9.734592524891772,irm,2,30,10000,14,0.0,index,30,uniform
Optimal_QLRU,0.0377,0.9995895408377667,1.1608799866431392,irm,2,30,10000,10,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0207,0.9991106651191646,1.7089119579728917,irm,2,30,10000,10,0.0,index,30,uniform
qlearning_balancer[lru],0.0262,0.9984436713427713,2.2609242122946713,irm,2,30,10000,10,0.0,index,30,uniform
qlearning_balancer[oracle],0.0291,0.9999349655301003,0.4620608175416787,irm,2,30,10000,10,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9977244563080204,2.7341986761577064,irm,2,30,10000,10,0.0,index,30,uniform
Optimal_QLRU,0.0536,0.9984738729501572,2.2388680774841423,irm,2,30,10000,12,0.0,index,30,uniform
