algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
qlearning_balancer[qlearn],0.089,0.910388071322948,17.418717878319324,irm,10,10,10000,15,0.0,uniform
qlearning_balancer[lru],0.0804,0.9153020914134842,16.919573852440774,irm,10,10,10000,15,0.0,uniform
qlearning_balancer[oracle],0.1229,0.9105036182211314,17.407125273812454,irm,10,10,10000,15,0.0,uniform
qlearning_balancer[nocache],0.0,0.9038166146577582,18.067334059196572,irm,10,10,10000,15,0.0,uniform
Optimal_QLRU,0.173,0.9847406940262942,7.095790110281631,irm,10,10,10000,18,0.0,uniform
qlearning_balancer[qlearn],0.0459,0.9047288374510711,17.978510708169903,irm,10,10,10000,18,0.0,uniform
qlearning_balancer[lru],0.0789,0.9274386527001507,15.626908671558512,irm,10,10,10000,18,0.0,uniform
qlearning_balancer[oracle],0.1342,0.9184670677626566,16.591112994564334,irm,10,10,10000,18,0.0,uniform
qlearning_balancer[nocache],0.0,0.9067152063880495,17.783770499843726,irm,10,10,10000,18,0.0,uniform
Optimal_QLRU,0.167,0.978160966205476,8.49831681292924,irm,10,10,10000,20,0.0,uniform
qlearning_balancer[qlearn],0.0771,0.8715549984679279,21.00149109213015,irm,10,10,10000,20,0.0,uniform
